METRICS PROFILING RESULTS - Sorted by Total Time (cumulative)
================================================================================

         1645824 function calls (1598299 primitive calls) in 2.390 seconds

   Ordered by: cumulative time
   List reduced from 962 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       35    0.000    0.000    0.000    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/textpath.py:26(__init__)
       70    0.000    0.000    0.000    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/layout_engine.py:67(__init__)
       35    0.000    0.000    0.000    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/patches.py:2567(__init__)
       70    0.000    0.000    0.000    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/widgets.py:38(__init__)
     2100    0.002    0.000    0.128    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/markers.py:220(__init__)
       70    0.000    0.000    0.001    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/mathtext.py:48(__init__)
       35    0.000    0.000    0.000    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/figure.py:79(__init__)
       35    0.000    0.000    0.001    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/backend_bases.py:150(__init__)
       70    0.001    0.000    0.012    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/patches.py:748(__init__)
      175    0.000    0.000    0.000    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/cycler/__init__.py:185(keys)
      910    0.003    0.000    0.146    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/text.py:104(__init__)
     2695    0.002    0.000    0.002    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/cycler/__init__.py:259(__iter__)
    13720    0.010    0.000    0.010    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/transforms.py:109(__init__)
